mhjd,mag_A,magerr_A,mag_B,magerr_B,telescope
54295.91557,-11.58076,0.0222,-11.14806,0.012,Mercator
54298.65676,-11.57889,0.0125,-11.11773,0.0178,HCT
54315.90701,-11.63225,0.017,-11.18142,0.0175,Mercator
54317.89159,-11.63195,0.0074,-11.16488,0.0101,Mercator
54325.65825,-11.71264,0.028,-11.09708,0.1275,MaidanakSI
54334.64577,-11.66084,0.0321,-11.1844,0.0341,MaidanakSI
54338.64256,-11.67982,0.034,-11.14022,0.0456,MaidanakSI
54417.25257,-11.60115,0.0165,-11.28435,0.0165,Mercator
54426.90658,-11.58438,0.0141,-11.29042,0.0177,HCT
54434.97004,-11.5335,0.0134,-11.29995,0.0162,HCT
54435.99357,-11.53977,0.0099,-11.29766,0.012,HCT
54466.90533,-11.50009,0.0072,-11.32009,0.0082,HCT
54468.92827,-11.49311,0.0079,-11.30247,0.0092,HCT
54470.19569,-11.50714,0.0186,-11.32611,0.0186,Mercator
54471.99517,-11.49894,0.0087,-11.30556,0.01,HCT
54475.26189,-11.51502,0.0168,-11.30311,0.0168,Mercator
54477.27236,-11.51804,0.0174,-11.31892,0.0175,Mercator
54477.90439,-11.49681,0.0076,-11.28653,0.0109,HCT
54484.01347,-11.4983,0.0097,-11.2987,0.0094,HCT
54491.97149,-11.51346,0.0137,-11.34845,0.0158,HCT
54492.92103,-11.52676,0.0269,-11.33414,0.032,HCT
54493.93035,-11.52908,0.0099,-11.333,0.0114,HCT
54495.00476,-11.56096,0.01,-11.37108,0.0123,HCT
54497.28173,-11.55436,0.0151,-11.32678,0.0154,Mercator
54500.01669,-11.53189,0.0077,-11.32393,0.009,HCT
54507.23876,-11.54089,0.016,-11.3262,0.0158,Mercator
54508.00031,-11.53423,0.0184,-11.31357,0.0158,HCT
54511.88731,-11.51281,0.0203,-11.29359,0.0229,HCT
54519.91636,-11.55249,0.0175,-11.28471,0.0252,HCT
54521.2382,-11.55628,0.0209,-11.17882,0.025,Mercator
54521.9214,-11.54749,0.0151,-11.2689,0.019,HCT
54522.89865,-11.54919,0.0108,-11.2595,0.0172,HCT
54524.25345,-11.55603,0.017,-11.24379,0.0175,Mercator
54525.91955,-11.55139,0.0084,-11.25979,0.0106,HCT
54530.00434,-11.52459,0.0088,-11.2189,0.0166,HCT
54533.15357,-11.54993,0.0122,-11.22293,0.0125,Mercator
